word,pos
간질간질,부사
간척,명사
간척지,명사
간첩,명사
간청,명사
간청하다,동사
간체,명사
간추리다,동사
간택,명사
간통,명사
간통죄,명사
간통하다,동사
간파하다,동사
간판,명사
간편하다,형용사
간편히,부사
간하다,동사
간행,명사
간행되다,동사
간행물,명사
간행하다,동사
간헐적,명사
간호,명사
간호복,명사
간호사,명사
간호원,명사
간호하다,동사
간호학,명사
간혹,부사
갇히다,동사
갈가리,부사
갈겨쓰다,동사
갈고닦다,동사
갈고리,명사
갈구다,동사
갈구하다,동사
갈기,명사
갈기갈기,부사
갈기다,동사
갈다,동사
갈데없이,부사
갈등,명사
갈라서다,동사
갈래,명사
갈리다,동사
갈리시아,명사
갈리시아어,명사
갈릴레이,명사
갈림길,명사
갈망,명사
갈망하다,동사
갈매기,명사
갈매기살,명사
갈무리,명사
갈무리하다,동사
갈비,명사
갈비뼈,명사
갈비탕,명사
갈색,명사
갈수기,명사
갈수록,부사
갈아엎다,동사
갈아입다,동사
갈아입히다,동사
갈아타다,동사
갈음하다,동사
갈증,명사
갈지자,명사
갈참나무,명사
갈채,명사
갈취,명사
갈취하다,동사
갈치,명사
갈퀴,명사
갈팡질팡하다,동사
갈피,명사
갉아먹다,동사
감,명사
감각,명사
감각적,명사
감감무소식,명사
감개무량,명사
감격,명사
감격하다,동사
감광,명사
감광지,명사
감귤,명사
감금,명사
감금되다,동사
감금하다,동사
감기,명사
감기다,동사
감기약,명사
감나무,명사
감내하다,동사
감다,동사
감당,명사
감당하다,동사
감도,명사
감독,명사
감독관,명사
감독상,명사
감독하다,동사
감돌다,동사
감동,명사
감동적,명사
감동하다,동사
감람나무,명사
감량,명사
감량하다,동사
감마,명사
감면,명사
감면되다,동사
감면하다,동사
감명,명사
감문,명사
감미롭다,형용사
감미료,명사
감방,명사
감봉,명사
감비아,명사
감사,명사
감사드리다,동사
감사원,명사
감사절,명사
감사하다,동사
감사하다,형용사
감사히,부사
감산,명사
감상,명사
감상문,명사
감상적,명사
감상하다,동사
감색,명사
감성,명사
감성적,명사
감세,명사
감세안,명사
감소,명사
감소되다,동사
감소세,명사
감소하다,동사
감속재,명사
감속하다,동사
감수,명사
감수성,명사
감수하다,동사
감시,명사
감시망,명사
감시원,명사
감시위성,명사
감시하다,동사
감식초,명사
감싸다,동사
감싸이다,동사
감안,명사
감안하다,동사
감액,명사
감액하다,동사
감언이설,명사
감염,명사
감염되다,동사
감염자,명사
감옥,명사
감옥살이,명사
감옥행,명사
감원,명사
감원하다,동사
감자,명사
감자조림,명사
감자탕,명사
감자튀김,명사
감전,명사
감전되다,동사
감점,명사
감정,명사
감정,명사
감정가,명사
감정되다,동사
감정이입,명사
감정적,명사
감정하다,동사
감주,명사
감지기,명사
감지되다,동사
감지하다,동사
감질나다,동사
감쪽같다,형용사
감쪽같이,부사
감찰,명사
감찰하다,동사
감청,명사
감청색,명사
감청하다,동사
감초,명사
감촉,명사
감추다,동사
감축,명사
감축하다,동사
감칠맛,명사
감탄,명사
감탄고토,명사
감탄고토,명사
감탄문,명사
감탄문,명사
감탄사,명사
감탄하다,동사
감퇴,명사
감퇴되다,동사
감투,명사
감하다,동사
감행,명사
감행하다,동사
감형,명사
감형되다,동사
감화,명사
감화되다,동사
감화하다,동사
감회,명사
감흥,명사
감히,부사
갑,명사
갑각류,명사
갑갑하다,형용사
갑남을녀,명사
갑론을박,명사
갑부,명사
갑상선,명사
갑신정변,명사
갑오개혁,명사
갑오징어,명사
갑옷,명사
갑을,명사
갑자기,부사
갑작스럽다,형용사
갑작스레,부사
갑절,명사
갑판,명사
갑판장,명사
값,명사
값비싸다,형용사
값싸다,형용사
값어치,명사
값없다,형용사
값있다,형용사
값지다,형용사
갓,부사
갓길,명사
갓김치,명사
갓난아기,명사
갓난아이,명사
강,명사
강가,명사
강간,명사
강경,명사
강경대응,명사
강경론,명사
강경투쟁,명사
강경파,명사
강경하다,형용사
강고하다,형용사
강공책,명사
강구하다,동사
강국,명사
강남,명사
강남구,명사
강남구청,명사
강낭콩,명사
강냉이,명사
강당,명사
강대국,명사
강대하다,형용사
강도,명사
강동구,명사
강동구청,명사
강된장,명사
강등,명사
강등되다,동사
강등하다,동사
강력,명사
강력하다,형용사
강력히,부사
강렬하다,형용사
강령,명사
강론,명사
강릉,명사
강림,명사
강림하다,동사
강물,명사
강바닥,명사
강박,명사
강박감,명사
강박관념,명사
강박적,명사
강변,명사
강북,명사
강북구,명사
강북구청,명사
강사,명사
강산,명사
강서구,명사
강서구청,명사
강성,명사
강세,명사
